category,moduleId,moduleTitle,assessmentType,form,questionId,pairedQuestionId,competencyId,bloomLevel,difficulty,prompt,optionA,optionB,optionC,optionD,correctAnswerLetter,correctAnswerText,rationale,sourceReferences,validationStatus
"foundations","foundations-ambiguity","Ambiguity is built in to design patterns","formal","A","foundations-ambiguity:A1","foundations-ambiguity:B1","pattern-ambiguity","remember","easy","What does this module say about some patterns at the code level?","All patterns look unique in code","Some patterns look almost identical in structure","Patterns never share code shapes","Ambiguity is always a defect","B","Some patterns look almost identical in structure","Some patterns share nearly identical structure (e.g., Builder vs Method Chaining), so ambiguity is inherent — not a defect.","CodiNeo Foundations module content","draft"
"foundations","foundations-ambiguity","Ambiguity is built in to design patterns","formal","A","foundations-ambiguity:A2","foundations-ambiguity:B2","pattern-ambiguity","understand","moderate","Why do Builder and Method Chaining look similar in code?","Both are creational only","Both rely on inheritance","Both use fluent method chaining (return *this)","Both are singletons","C","Both use fluent method chaining (return *this)","Both express a fluent interface returning *this, so their surface code looks alike though their intent differs.","CodiNeo Foundations module content","draft"
"foundations","foundations-ambiguity","Ambiguity is built in to design patterns","formal","A","foundations-ambiguity:A3","foundations-ambiguity:B3","pattern-ambiguity","apply","moderate","Two classes each hold a member of the same interface and forward calls to it. To tell which pattern, you should examine ___.","the file size","the intent — e.g. controlling access vs adding behaviour vs adapting an interface","only the variable names","the compiler output","B","the intent — e.g. controlling access vs adding behaviour vs adapting an interface","Wrappers that forward to a same-interface member are distinguished by intent (control access vs add behaviour vs adapt), not by size, names, or compiler output.","CodiNeo Foundations module content; Gamma, Helm, Johnson, Vlissides (1994), Design Patterns, ch. 1","draft"
"foundations","foundations-ambiguity","Ambiguity is built in to design patterns","formal","A","foundations-ambiguity:A4","foundations-ambiguity:B4","pattern-ambiguity","analyze","difficult","Adapter, Decorator, and Proxy all wrap a held member. Which cue best separates Proxy from Decorator?","Proxy adds new responsibilities while Decorator restricts access","They cannot be distinguished","Proxy controls access to a same-interface subject; Decorator augments behaviour through the same interface","A Proxy must be abstract","C","Proxy controls access to a same-interface subject; Decorator augments behaviour through the same interface","Proxy’s intent is controlling access to the subject (same interface); Decorator’s intent is augmenting behaviour. That intent difference is the cue.","Gamma, Helm, Johnson, Vlissides (1994), Design Patterns, ch. 1","draft"
"foundations","foundations-ambiguity","Ambiguity is built in to design patterns","formal","A","foundations-ambiguity:A5","foundations-ambiguity:B5","pattern-ambiguity","evaluate","difficult","Given two near-identical implementations, which is the most defensible way to resolve the pattern?","Pick whichever name sounds best","Always choose Decorator","Flip a coin","Resolve by the intent shown in naming, collaborators, and call-site shape","D","Resolve by the intent shown in naming, collaborators, and call-site shape","The defensible method weighs intent evidence (lexemes, collaborators, call-site shape) rather than guessing or defaulting.","CodiNeo Foundations module content","draft"
"foundations","foundations-ambiguity","Ambiguity is built in to design patterns","formal","B","foundations-ambiguity:B1","foundations-ambiguity:A1","pattern-ambiguity","remember","easy","Which statement reflects this module’s honest claim?","Structural ambiguity between some patterns is inherent","Every pattern is structurally unique","Ambiguity means the code is wrong","Patterns are never similar","A","Structural ambiguity between some patterns is inherent","The module’s claim is that structural ambiguity between some patterns is inherent, not a sign of error.","CodiNeo Foundations module content","draft"
"foundations","foundations-ambiguity","Ambiguity is built in to design patterns","formal","B","foundations-ambiguity:B2","foundations-ambiguity:A2","pattern-ambiguity","understand","moderate","Why can two patterns share the same class diagram?","Because diagrams are always inaccurate","Because structure alone does not capture intent, which differs","Because they are the same pattern","Because UML forbids uniqueness","B","Because structure alone does not capture intent, which differs","A class diagram shows structure but not intent; two patterns with the same structure differ in purpose.","CodiNeo Foundations module content","draft"
"foundations","foundations-ambiguity","Ambiguity is built in to design patterns","formal","B","foundations-ambiguity:B3","foundations-ambiguity:A3","pattern-ambiguity","apply","moderate","A class implements an interface, holds a same-interface member, forwards calls, and adds logging around them. Which intent is most likely?","Adapting an incompatible interface","Ensuring a single instance","Adding behaviour transparently (decoration)","Creating families of related products","C","Adding behaviour transparently (decoration)","Forwarding through the same interface while adding behaviour (logging) signals Decorator intent, not adaptation, singleton, or factory.","Gamma, Helm, Johnson, Vlissides (1994), Design Patterns, ch. 1","draft"
"foundations","foundations-ambiguity","Ambiguity is built in to design patterns","formal","B","foundations-ambiguity:B4","foundations-ambiguity:A4","pattern-ambiguity","analyze","difficult","What evidence best distinguishes Adapter from Decorator?","They are identical","Adapter targets a different/incompatible interface; Decorator keeps the same interface and adds behaviour","Decorator changes the interface","Adapter exists to add logging","B","Adapter targets a different/incompatible interface; Decorator keeps the same interface and adds behaviour","Adapter converts to a different/incompatible interface; Decorator keeps the same interface and augments behaviour — the defining difference.","Gamma, Helm, Johnson, Vlissides (1994), Design Patterns, ch. 1","draft"
"foundations","foundations-ambiguity","Ambiguity is built in to design patterns","formal","B","foundations-ambiguity:B5","foundations-ambiguity:A5","pattern-ambiguity","evaluate","difficult","Which approach to resolving a near-tie between two patterns is most academically defensible?","Guess from the class name","Always pick the first catalog match","Ignore the tie entirely","Weigh intent signals and accept genuine ambiguity rather than forcing a single label","D","Weigh intent signals and accept genuine ambiguity rather than forcing a single label","Weighing intent signals and acknowledging genuine ambiguity is defensible; guessing, defaulting, or ignoring the tie is not.","CodiNeo Foundations module content","draft"
"foundations","foundations-ambiguity","Ambiguity is built in to design patterns","in-module","","foundations-ambiguity:remembering","","ambiguity-builtin","remembering","easy","What does this module say about some patterns sharing the same code shape?","It is a bug in the catalog that must be fixed","It is a built-in property — different patterns can share a structural shape","It never happens in practice","It only happens in Java","B","It is a built-in property — different patterns can share a structural shape","Shared structure across patterns is an inherent property, not a defect — e.g. Builder and Method Chaining both use return *this.","CodiNeo Foundations module content","draft"
"foundations","foundations-ambiguity","Ambiguity is built in to design patterns","in-module","","foundations-ambiguity:understanding","","ambiguity-why","understanding","moderate","Why can no automated tool always pick a single pattern from structure alone?","Because tools cannot read C++","Because the patterns are secret","Because several patterns can share an identical structural shape, so structure alone is insufficient to decide intent","Because compilers delete the structure","C","Because several patterns can share an identical structural shape, so structure alone is insufficient to decide intent","When patterns share a shape, structure underdetermines intent, so a tool cannot always pick one winner from code alone.","CodiNeo Foundations module content","draft"
"foundations","foundations-ambiguity","Ambiguity is built in to design patterns","in-module","","foundations-ambiguity:applying","","ambiguity-response","applying","moderate","Your analyser finds code matching both Adapter and Decorator equally. Following the module, what is the right response?","Randomly pick one and report it confidently","Always choose the alphabetically first pattern","Delete the code","Report the genuine ambiguity rather than bluffing a single confident answer","D","Report the genuine ambiguity rather than bluffing a single confident answer","The honest response to a true structural tie is to surface the ambiguity, not to fake a confident single pick.","CodiNeo Foundations module content","draft"
"foundations","foundations-ambiguity","Ambiguity is built in to design patterns","in-module","","foundations-ambiguity:analyzing","","ambiguity-shared-shape","analyzing","difficult","Two classes each wrap a held member and forward calls to it. Why is this evidence insufficient to label one Adapter and the other Decorator?","Because forwarding is illegal in C++","Because wrapping always means Adapter","Because Adapter, Decorator, and Proxy all share that wrap-and-forward shape; intent (convert vs add vs control) must distinguish them","Because the classes must be merged","C","Because Adapter, Decorator, and Proxy all share that wrap-and-forward shape; intent (convert vs add vs control) must distinguish them","Wrap-and-forward is common to Adapter, Decorator, and Proxy; only their differing intent separates them, so structure alone cannot decide.","CodiNeo Foundations module content; Gamma, Helm, Johnson, Vlissides (1994), Design Patterns, ch. 1","draft"
"foundations","foundations-ambiguity","Ambiguity is built in to design patterns","in-module","","foundations-ambiguity:evaluating","","ambiguity-judge","evaluating","difficult","A tool reports “100% Decorator” for code that is structurally identical to Adapter and Proxy, with no extra evidence. How should you judge this report?","Trustworthy — high confidence means it is correct","Correct because the number is high","Correct because Decorator is most common","Unjustified — with a shared shape and no disambiguating evidence, a single high-confidence claim is not defensible","D","Unjustified — with a shared shape and no disambiguating evidence, a single high-confidence claim is not defensible","A confident single label on a genuinely ambiguous shape, lacking disambiguating evidence, is not defensible — the module’s core lesson.","CodiNeo Foundations module content","draft"
"foundations","foundations-beginner-mistakes","Common beginner mistakes","formal","A","foundations-beginner-mistakes:A1","foundations-beginner-mistakes:B1","pattern-misuse-awareness","remember","easy","Which is a common beginner mistake with design patterns?","Reading the catalog carefully","Forcing a pattern where the underlying problem does not exist","Writing unit tests","Using version control","B","Forcing a pattern where the underlying problem does not exist","Over-applying a pattern where its problem is absent is a classic trap; the other options are good practices.","CodiNeo Foundations module content","draft"
"foundations","foundations-beginner-mistakes","Common beginner mistakes","formal","A","foundations-beginner-mistakes:A2","foundations-beginner-mistakes:B2","pattern-misuse-awareness","understand","moderate","Why is naming a class after a pattern not evidence the pattern is implemented?","Because names are case-sensitive","Because the pattern must be in a separate file","Because a name is only a label; structure and intent determine the pattern","Because compilers reject pattern names","C","Because a name is only a label; structure and intent determine the pattern","A name is just a label; the pattern exists only if the structure/intent are present. The other options are incorrect.","CodiNeo Foundations module content","draft"
"foundations","foundations-beginner-mistakes","Common beginner mistakes","formal","B","foundations-beginner-mistakes:B1","foundations-beginner-mistakes:A1","pattern-misuse-awareness","remember","easy","Over-applying design patterns most often leads to ___.","faster code","fewer source files","guaranteed correctness","unnecessary complexity and indirection","D","unnecessary complexity and indirection","Forcing patterns adds indirection/complexity without benefit; it does not improve speed, file count, or correctness.","CodiNeo Foundations module content","draft"
"foundations","foundations-beginner-mistakes","Common beginner mistakes","formal","B","foundations-beginner-mistakes:B2","foundations-beginner-mistakes:A2","pattern-misuse-awareness","understand","moderate","A learner adds “Factory” to a class name to “use the pattern.” What is the flaw?","The name should be lowercase","Renaming does not create the pattern’s structure or intent","Factories must be singletons","Patterns cannot be named at all","B","Renaming does not create the pattern’s structure or intent","Renaming alone does not create the required structure/intent, so the pattern is not implemented. The other options are wrong.","CodiNeo Foundations module content","draft"
"foundations","foundations-beginner-mistakes","Common beginner mistakes","in-module","","foundations-beginner-mistakes:remembering","","beginner-mistake-overuse","remembering","easy","Which is a common beginner mistake this module warns against?","Reading the existing code before changing it","Naming variables clearly","Forcing a pattern where a simple solution would do (over-engineering)","Writing unit tests","C","Forcing a pattern where a simple solution would do (over-engineering)","Over-applying patterns where a simple solution suffices is a classic beginner trap the module warns against.","CodiNeo Foundations module content","draft"
